Name,IPEDS_UNITID,University,JoinYear,Rank,Subfield,Bachelors,Masters,Doctorate,PostDoc,Sources1,Sources2,Sources3,Sources4
Mark Oskin,236948,University of Washington,2001,Associate,Hardware & Architecture,University of California - Davis - USA,University of California - Davis - USA,University of California - Davis - USA,,http://homes.cs.washington.edu/~oskin/,http://www.linkedin.com/pub/mark-oskin/b/190/172,,
Martin Tompa,236948,University of Washington,1978,Full,Bioinformatics & Computational Biology,Harvard University - USA,University of Toronto - Canada,University of Toronto - Canada,University of Washington - USA,http://www.cs.washington.edu/people/faculty/tompa,http://psellos.com/schnapsen/blog/,,
Maya Cakmak,236948,University of Washington,2013,Assistant,Artificial Intelligence,Middle East Technical University - Ankara - Turkey,Middle East Technical University - Ankara - Turkey,Georgia Institute of Technology - USA,Willow Garage Inc. - USA,http://www.mayacakmak.com/home,,,
Michael Ernst,236948,University of Washington,2009,Full,Software Engineering,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of Washington - USA,,http://homes.cs.washington.edu/~mernst/research/ernst-cv.pdf,http://www.cs.washington.edu/people/faculty/mernst,,
Oren Etzioni,236948,University of Washington,1991,Full,Natural Language & Speech,Harvard University - USA,,Carnegie Mellon University - USA,,http://homes.cs.washington.edu/~etzioni/bio.html,,,
Paul Beame,236948,University of Washington,1987,Full,Algorithms & Theory,University of Toronto - Canada,University of Toronto - Canada,University of Toronto - Canada,Massachusetts Institute of Technology - USA,http://www.cs.washington.edu/people/faculty/beame,,,
Pedro Domingos,236948,University of Washington,1999,Full,Artificial Intelligence,Technical University of Lisbon - Portugal,University of California - Irvine - USA,University of California - Irvine - USA,,http://homes.cs.washington.edu/~pedrod/vita.pdf,,,
Rajesh Rao,236948,University of Washington,2000,Associate,Artificial Intelligence,Angelo State University - USA,University of Rochester - USA,University of Rochester - USA,Salk Institute for Biological Studies - USA,http://homes.cs.washington.edu/~rao/,http://www.cs.washington.edu/people/faculty/rao,,
Richard Anderson,236948,University of Washington,1986,Full,Computer Education,Reed College - USA,,Stanford University - USA,Princeton University - USA,http://www.cs.washington.edu/people/faculty/anderson,,,
Richard E. Ladner,236948,University of Washington,1971,Full,Computer Education,Saint Mary's College of California - USA,,University of California - Berkeley - USA,,http://www.cs.washington.edu/people/faculty/ladner,,,
Shwetak Patel,236948,University of Washington,2008,Assistant,Human-Computer Interaction,Georgia Institute of Technology - USA,,Georgia Institute of Technology - USA,,http://abstract.cs.washington.edu/~shwetak/resume/patel-cv.pdf,,,
Shyam Gollakota,236948,University of Washington,2012,Assistant,Networks & Communications,Indian Institute of Technology - Madras - India,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://homes.cs.washington.edu/~gshyam/,,,
Steve Gribble,236948,University of Washington,2000,Full,Networks & Communications,University of British Columbia - Canada,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://homes.cs.washington.edu/~gribble/biography.html,,,
Steve Tanimoto,236948,University of Washington,1977,Full,Graphics,Harvard University - USA,,Princeton University - USA,,http://homes.cs.washington.edu/~lazowska/selfstudy/cvs/tanimoto.pdf,http://www.computer.org/portal/web/volunteercenter/Tanimoto,,
Steven D. Gribble,236948,University of Washington,2000,Full,Operating Systems,University of British Columbia - Canada,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://homes.cs.washington.edu/~gribble/biography.html,,,
Steven Seitz,236948,University of Washington,2000,Full,Computer Vision,University of California - Berkeley - USA,,University of Wisconsin - Madison - USA,Microsoft Research - USA,http://www.cs.washington.edu/people/faculty/seitz,http://homes.cs.washington.edu/~seitz/resumeExt.pdf,,
Su-In Lee,236948,University of Washington,2010,Assistant,Machine Learning & Pattern Recognition,Korea Advanced Institute of Science and Technology - South Korea,,Stanford University - USA,,http://suinlee.cs.washington.edu/bio,http://www.cs.washington.edu/faculty_candidates/recent_hires/,,
Tadayoshi Kohno,236948,University of Washington,2006,Associate,Security & Privacy,University of Colorado Boulder - USA,University of California - San Diego - USA,University of California - San Diego - USA,,http://homes.cs.washington.edu/~yoshi/index.html,http://www.cs.washington.edu/abet/cv/submissions/yoshi.html,,
Tom Anderson,236948,University of Washington,1997,Full,Operating Systems,Harvard University - USA,University of Washington - USA,University of Washington - USA,,http://homes.cs.washington.edu/~tom/cv.pdf,,,
Zoran Popovic,236948,University of Washington,1999,Full,Graphics,Brown University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://homes.cs.washington.edu/~zoran/,,,
Aditya Akella,240444,University of Wisconsin - Madison,2006,Associate,Networks & Communications,Indian Institute of Technology - Madras - India,,Carnegie Mellon University - USA,,http://www.cs.wisc.edu/users/akella,http://pages.cs.wisc.edu/~akella/,,
Amos Ron,240444,University of Wisconsin - Madison,1990,Full,Scientific Computing,Tel Aviv University - Israel,Tel Aviv University - Israel,Tel Aviv University - Israel,,http://www.cs.wisc.edu/users/amos,http://pages.cs.wisc.edu/~amos/,,
Andrea Arpaci-Dusseau,240444,University of Wisconsin - Madison,2000,Full,Operating Systems,Carnegie Mellon University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://www.cs.wisc.edu/users/dusseau,,,
Anhai Doan,240444,University of Wisconsin - Madison,2006,Associate,Databases,University of Debrecen - Hungary,University of Wisconsin - Milwaukee - USA,University of Washington - USA,,http://www.cs.wisc.edu/users/anhai,,,
Barton Miller,240444,University of Wisconsin - Madison,1984,Full,Operating Systems,University of California - San Diego - USA,,University of California - Berkeley - USA,,http://www.cs.wisc.edu/users/bart,,,
Ben Liblit,240444,University of Wisconsin - Madison,2005,Associate,Software Engineering,Pennsylvania State University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://www.cs.wisc.edu/users/liblit,,,
Benjamin Snyder,240444,University of Wisconsin - Madison,2010,Assistant,Natural Language & Speech,University of Pennsylvania - USA,,Massachusetts Institute of Technology - USA,University of Pennsylvania - USA,http://www.cs.wisc.edu/users/bsnyder,http://pages.cs.wisc.edu/~bsnyder/,,
Bilge Mutlu,240444,University of Wisconsin - Madison,2009,Assistant,Human-Computer Interaction,Middle East Technical University - Ankara - Turkey,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://www.cs.wisc.edu/users/bilge,,,
Charles Dyer,240444,University of Wisconsin - Madison,1982,Full,Computer Vision,Stanford University - USA,University of California - Los Angeles - USA,University of Maryland - College Park - USA,,http://www.cs.wisc.edu/users/dyer,http://pages.cs.wisc.edu/~dyer/,,
David Wood,240444,University of Wisconsin - Madison,1990,Full,Hardware & Architecture,University of California - Berkeley - USA,,University of California - Berkeley - USA,,http://www.cs.wisc.edu/users/david,http://pages.cs.wisc.edu/~david/,,
Deborah Joseph,240444,University of Wisconsin - Madison,,Associate,Algorithms & Theory,,,Purdue University - USA,,http://www.cs.wisc.edu/users/joseph,http://pages.cs.wisc.edu/~joseph/,,
Dieter van Melkebeek,240444,University of Wisconsin - Madison,2001,Full,Algorithms & Theory,Catholic University of Leuven - Belgium,Catholic University of Leuven - Belgium,University of Chicago - USA,Princeton University - USA,http://www.cs.wisc.edu/users/dieter,http://pages.cs.wisc.edu/~dieter/,,
Eftychios Sifakis,240444,University of Wisconsin - Madison,2011,Assistant,Graphics,University of Crete - Greece,,Stanford University - USA,University of California - Los Angeles - USA,http://pages.cs.wisc.edu/~sifakis/,,,
Eric Bach,240444,University of Wisconsin - Madison,1984,Full,Algorithms & Theory,Aarhus University - Denmark,Aarhus University - Denmark,University of California - Berkeley - USA,,http://pages.cs.wisc.edu/~bach/,,,
Gurindar Sohi,240444,University of Wisconsin - Madison,1985,Full,Hardware & Architecture,Birla Institute of Technology and Science - Pilani - India,,University of Illinois at Urbana-Champaign - USA,,http://www.cs.wisc.edu/users/sohi,http://pages.cs.wisc.edu/~sohi/,http://www.computer.org/portal/web/awards/sohi,
Jeffrey Naughton,240444,University of Wisconsin - Madison,1990,Full,Databases,University of Wisconsin - Madison - USA,,Stanford University - USA,,http://www.cs.wisc.edu/users/naughton,http://pages.cs.wisc.edu/~naughton/,,
Jerry Zhu,240444,University of Wisconsin - Madison,2011,Associate,Machine Learning & Pattern Recognition,Shanghai Jiao Tong University - Shanghai - China,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://www.cs.wisc.edu/users/jerryzhu,http://pages.cs.wisc.edu/~jerryzhu/,,
Jignesh Patel,240444,University of Wisconsin - Madison,2008,Full,Databases,,,University of Wisconsin - Madison - USA,,http://www.cs.wisc.edu/users/jignesh,http://pages.cs.wisc.edu/~jignesh/,,
Jin-Yi Cai,240444,University of Wisconsin - Madison,2002,Full,Algorithms & Theory,Fudan University - Shanghai - China,Cornell University - USA,Cornell University - USA,,http://www.cs.wisc.edu/users/jyc,http://pages.cs.wisc.edu/~jyc/,,
Jude Shavlik,240444,University of Wisconsin - Madison,1988,Full,Algorithms & Theory,Massachusetts Institute of Technology - USA,Yale University - USA,University of Illinois at Urbana-Champaign - USA,,http://www.cs.wisc.edu/users/shavlik,http://pages.cs.wisc.edu/~shavlik/,,
Karthikeyan Sankaralingam,240444,University of Wisconsin - Madison,2006,Associate,Hardware & Architecture,Indian Institute of Technology - Madras - India,University of Texas - Austin - USA,University of Texas - Austin - USA,,http://www.cs.wisc.edu/users/karu,,,
Li Zhang,240444,University of Wisconsin - Madison,2007,Assistant,Computer Vision,,Tsinghua University - Beijing - China,University of Washington - USA,Columbia University - USA,http://www.cs.wisc.edu/users/lizhang,,,
Mark D. Hill,240444,University of Wisconsin - Madison,1988,Full,Hardware & Architecture,University of Michigan - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://www.cs.wisc.edu/users/markhill,http://pages.cs.wisc.edu/~markhill/,,
Michael Ferris,240444,University of Wisconsin - Madison,1988,Full,Algorithms & Theory,Churchill College - Cambridge - United Kingdom,Churchill College - Cambridge - United Kingdom,Churchill College - Cambridge - United Kingdom,,http://www.cs.wisc.edu/users/ferris,http://pages.cs.wisc.edu/~ferris/,,
